Date,Open,High,Low,Close,Adj Close,Volume
2013-08-05,116.529999,122.300003,116.529999,122.300003,122.300003,0
2013-08-12,115.440002,119.330002,115.440002,117.209999,117.209999,0
2013-08-19,118.150002,120.129997,117.169998,120.129997,120.129997,0
2013-08-26,118.690002,118.690002,117.209999,117.480003,117.480003,0
2013-09-02,116.720001,118.669998,116.720001,118.669998,118.669998,0
2013-09-09,119.000000,120.680000,119.000000,120.120003,120.120003,0
2013-09-16,118.839996,121.589996,114.220001,115.870003,115.870003,0
2013-09-23,119.080002,124.480003,117.449997,124.480003,124.480003,0
2013-09-30,123.459999,123.980003,122.309998,123.980003,123.980003,0
2013-10-07,123.230003,130.970001,120.250000,130.970001,130.970001,0
2013-10-14,129.139999,131.350006,125.239998,131.350006,131.350006,0
2013-10-21,130.669998,135.419998,129.169998,135.059998,135.059998,0
2013-10-28,127.580002,132.330002,127.580002,129.839996,129.839996,0
2013-11-04,125.570000,126.370003,118.690002,126.370003,126.370003,0
2013-11-11,125.550003,133.460007,125.550003,133.460007,133.460007,0
2013-11-18,137.059998,137.059998,124.629997,133.759995,133.759995,0
2013-11-25,134.229996,134.229996,130.820007,130.820007,130.820007,0
2013-12-02,131.639999,132.380005,128.009995,128.009995,128.009995,0
2013-12-09,126.089996,126.739998,125.089996,126.220001,126.220001,0
2013-12-16,128.750000,143.199997,128.750000,143.199997,143.199997,0
2013-12-23,138.110001,138.110001,136.649994,136.720001,136.720001,0
2013-12-30,134.360001,134.460007,133.630005,134.460007,134.460007,0
2014-01-06,131.990005,131.990005,126.150002,126.150002,126.150002,0
2014-01-13,130.589996,139.619995,130.589996,139.619995,139.619995,0
2014-01-20,138.770004,138.919998,131.610001,131.610001,131.610001,0
2014-01-27,128.729996,128.729996,126.709999,128.369995,128.369995,0
2014-02-03,126.169998,129.009995,124.680000,129.009995,129.009995,0
2014-02-10,126.260002,129.250000,126.260002,129.250000,129.250000,0
2014-02-17,124.250000,138.789993,124.250000,138.789993,138.789993,0
2014-02-24,134.470001,137.240005,121.919998,137.169998,137.169998,0
2014-03-03,129.119995,133.460007,126.620003,130.490005,130.490005,0
2014-03-10,131.350006,132.330002,112.660004,112.660004,112.660004,0
2014-03-17,143.270004,143.270004,129.369995,132.820007,132.820007,0
2014-03-24,132.699997,132.699997,117.959999,124.980003,124.980003,0
2014-03-31,123.250000,128.130005,123.250000,126.610001,126.610001,0
2014-04-07,123.919998,130.789993,122.589996,122.589996,122.589996,0
